Ranking	Artist	Song Title	Year	Group / Solos	
1	Percy Faith	Theme From “A Summer Place”	1960	Solo	
2	Jim Reeves	He’ll Have To Go	1960	Solo	
3	Everly Brothers	Cathy’s Clown	1960	Group	
4	Johnny Preston	Running Bear	1960	Solo	
5	Mark Dinning	Teen Angel	1960	Solo	
6	Brenda Lee	I’m Sorry	1960	Solo	
7	Elvis Presley	It’s Now Or Never	1960	Solo	
8	Jimmy Jones	Handy Man	1960	Solo	
9	Elvis Presley	Stuck On You	1960	Solo	
10	Chubby Checker	The Twist	1960	Solo	
1	Bobby Lewis	Tossin’ And Turnin’	1961	Solo	
2	Patsy Cline	I Fall To Pieces	1961	Solo	
3	Highwaymen	Michael	1961	Group	
4	Roy Orbison	Cryin’	1961	Solo	
5	Del Shannon	Runaway	1961	Solo	
6	Jive Five	My True Story	1961	Group	
7	Chubby Checker	Pony Time	1961	Solo	
8	String-a-longs	Wheels	1961	Group	
9	Dee Clark	Raindrops	1961	Solo	
10	Joe Dowell	Wooden Heart (Muss I Denn)	1961	Solo	
1	Mr. Acker Bilk	Stranger On The Shore	1962	Solo	
2	Ray Charles	I Can’t Stop Loving You	1962	Solo	
3	Dee Dee Sharp	Mashed Potato Time	1962	Solo	
4	Bobby Vinton	Roses Are Red	1962	Solo	
5	David Rose	The Stripper	1962	Solo	
6	Shelley Fabares	Johnny Angel	1962	Solo	
7	Little Eva	The Loco-Motion	1962	Solo	
8	Sensations	Let Me In	1962	Group	
9	Chubby Checker	The Twist	1962	Solo	
10	Shirelles	Soldier Boy	1962	Group	
1	Jimmy Gilmer and The Fireballs	Sugar Shack	1963	Group	
2	Beach Boys	Surfin’ U.S.A.	1963	Group	
3	Skeeter Davis	The End Of The World	1963	Solo	
4	Cascades	Rhythm Of The Rain	1963	Group	
5	Chiffons	He’s So Fine	1963	Group	
6	Bobby Vinton	Blue Velvet	1963	Solo	
7	Paul and Paula	Hey Paula	1963	Group	
8	Little Stevie Wonder	Fingertips II	1963	Solo	
9	Village Stompers	Washington Square	1963	Group	
10	Impressions	It’s All Right	1963	Group	
1	Beatles	I Want To Hold Your Hand	1964	Group	
2	Beatles	She Loves You	1964	Group	
3	Louis Armstrong	Hello, Dolly!	1964	Solo	
4	Roy Orbison	Oh, Pretty Woman	1964	Solo	
5	Beach Boys	I Get Around	1964	Group	
6	Dean Martin	Everybody Loves Somebody	1964	Solo	
7	Mary Wells	My Guy	1964	Solo	
8	Gale Garnett	We’ll Sing In The Sunshine	1964	Solo	
9	J. Frank Wilson and The Cavaliers	Last Kiss	1964	Group	
10	Supremes	Where Did Our Love Go	1964	Group	
1	Sam The Sham and The Pharaohs	Wooly Bully	1965	Group	
2	Four Tops	I Can’t Help Myself (Sugar Pie Honey Bunch)	1965	Group	
3	Rolling Stones	(I Can’t Get No) Satisfaction	1965	Group	
4	We Five	You Were On My Mind	1965	Group	
5	Righteous Brothers	You’ve Lost That Lovin’ Feelin’	1965	Group	
6	Petula Clark	Downtown	1965	Solo	
7	Beatles	Help!	1965	Group	
8	Herman’s Hermits	Can’t You Hear My Heartbeat	1965	Group	
9	Elvis Presley	Crying In The Chapel	1965	Solo	
10	Temptations	My Girl	1965	Group	
1	Sgt. Barry Sadler	The Ballad Of The Green Berets	1966	Solo	
2	Association	Cherish	1966	Group	
3	Righteous Brothers	(You’re My) Soul And Inspiration	1966	Group	
4	Four Tops	Reach Out I’ll Be There	1966	Group	
5	Question Mark and The Mysterians	96 Tears	1966	Group	
6	Monkees	Last Train To Clarksville	1966	Group	
7	Mamas and The Papas	Monday, Monday	1966	Group	
8	Supremes	You Can’t Hurry Love	1966	Group	
9	Johnny Rivers	Poor Side Of Town	1966	Solo	
10	Mamas and The Papas	California Dreamin’	1966	Group	
1	Lulu	To Sir With Love	1967	Solo	
2	Box Tops	The Letter	1967	Group	
3	Bobby Gentry	Ode To Billie Joe	1967	Solo	
4	Association	Windy	1967	Group	
5	Monkees	I’m A Believer	1967	Group	
6	Doors	Light My Fire	1967	Group	
7	Nancy Sinatra	Somethin’ Stupid	1967	Group	
8	Turtles	Happy Together	1967	Group	
9	Young Rascals	Groovin’	1967	Group	
10	Frankie Valli	Can’t Take My Eyes Off You	1967	Group	
1	Beatles	Hey Jude	1968	Group	
2	Paul Mauriat	Love Is Blue	1968	Solo	
3	Bobby Goldsboro	Honey	1968	Solo	
4	Otis Redding	(Sittin’ On) The Dock Of The Bay	1968	Solo	
5	Rascals	People Got To Be Free	1968	Group	
6	Cream	Sunshine Of Your Love	1968	Group	
7	Herb Alpert	This Guy’s In Love With You	1968	Solo	
8	Hugo Montenegro	The Good, The Bad And The Ugly	1968	Solo	
9	Simon and Garfunkel	Mrs. Robinson	1968	Group	
10	Archie Bell and The Drells	Tighten Up	1968	Group	
1	Archies	Sugar, Sugar	1969	Group	
2	Fifth Dimension	Aquarius / Let The Sunshine In	1969	Group	
3	Temptations	I Can’t Get Next To You	1969	Group	
4	Rolling Stones	Honky Tonk Women	1969	Group	
5	Sly and The Family Stone	Everyday People	1969	Group	
