Artist/	Artist	Song Title	Group / Solo Artists	Year	Ranking	Hits by Artist Since 1960	One Hit Wonder?	Uniqueness/Variety of Lyrics
Percy Faith/	Percy Faith	Theme From “A Summer Place”	Solo	1960	1			
Jim Reeves/	Jim Reeves	He’ll Have To Go	Solo	1960	2			
Everly Brothers/	Everly Brothers	Cathy’s Clown	Group	1960	3			
Johnny Preston/	Johnny Preston	Running Bear	Solo	1960	4			
Mark Dinning/	Mark Dinning	Teen Angel	Solo	1960	5			
Brenda Lee/	Brenda Lee	I’m Sorry	Solo	1960	6			
Elvis Presley/	Elvis Presley	It’s Now Or Never	Solo	1960	7			
Jimmy Jones/	Jimmy Jones	Handy Man	Solo	1960	8			
Elvis Presley/	Elvis Presley	Stuck On You	Solo	1960	9			
Chubby Checker/	Chubby Checker	The Twist	Solo	1960	10			
Bobby Lewis/	Bobby Lewis	Tossin’ And Turnin’	Solo	1961	1			
Patsy Cline/	Patsy Cline	I Fall To Pieces	Solo	1961	2			
Highwaymen/	Highwaymen	Michael	Group	1961	3			
Roy Orbison/	Roy Orbison	Cryin’	Solo	1961	4			
Del Shannon/	Del Shannon	Runaway	Solo	1961	5			
Jive Five/	Jive Five	My True Story	Group	1961	6			
Chubby Checker/	Chubby Checker	Pony Time	Solo	1961	7			
String-a-longs/	String-a-longs	Wheels	Group	1961	8			
Dee Clark/	Dee Clark	Raindrops	Solo	1961	9			
Joe Dowell/	Joe Dowell	Wooden Heart (Muss I Denn)	Solo	1961	10			
Mr. Acker Bilk/	Mr. Acker Bilk	Stranger On The Shore	Solo	1962	1			
Ray Charles/	Ray Charles	I Can’t Stop Loving You	Solo	1962	2			
Dee Dee Sharp/	Dee Dee Sharp	Mashed Potato Time	Solo	1962	3			
Bobby Vinton/	Bobby Vinton	Roses Are Red	Solo	1962	4			
David Rose/	David Rose	The Stripper	Solo	1962	5			
Shelley Fabares/	Shelley Fabares	Johnny Angel	Solo	1962	6			
Little Eva/	Little Eva	The Loco-Motion	Solo	1962	7			
Sensations/	Sensations	Let Me In	Group	1962	8			
Chubby Checker/	Chubby Checker	The Twist	Solo	1962	9			
Shirelles/	Shirelles	Soldier Boy	Group	1962	10			
